Consiliul National de Solutionare a Contestatiilor - CNSC	National Council for Solving Complaints - NCSC	True	8617506	8617506	LATIN	LATIN	RO	RO
Gorečki Izvori	Кутлишта	False	8660411	8660413	LATIN	CYRILLIC	MK	MK
mkhfr hdwd alzyady alqdym	مخفر حدود الزيادي القديم	True	7375116	7375116	LATIN	ARABIC	IQ	IQ
Huangjuebu	san dao chao men	False	6873660	6873661	LATIN	LATIN	CN	CN
Lin-yüan T’i-fang	林園堤防	True	7501742	7501742	LATIN	CJK	TW	TW
Aş Şilşil	Āl an Nawāşirah	False	9976232	9976233	LATIN	LATIN	YE	YE
Marghan Gah	mrghan gah	True	7492552	7492552	LATIN	LATIN	IR	IR
byr alsltanyat	tl almwasb	False	6780262	6780263	LATIN	LATIN	IQ	IQ
Abu Tuhayji	Abū Tuwayjah	True	174325	174325	LATIN	LATIN	SY	SY
zhang ming	Fuchengtun	False	7536842	7536843	LATIN	LATIN	CN	CN
龙马乡	long ma	True	1280672	1280672	CJK	LATIN	CN	CN
Клавиль	Данвиль	False	6453885	6453888	CYRILLIC	CYRILLIC	FR	FR
Gōryak Ghunḏêy	Guryak Ghar	True	1473936	1473936	LATIN	LATIN	AF	AF
Kahak-e Lakī	Kahk-e Fatḩābād	False	129766	129767	LATIN	LATIN	IR	IR
Ala-Bel'	Ala-Bel’	True	8315542	8315542	LATIN	LATIN	KG	KG
花見坂	Onizu	False	10310917	10310918	CJK	LATIN	JP	JP
Ấp Hưng Yên	Hung Yen	True	1593250	1593250	LATIN	LATIN	VN	VN
ห้วยโกจาง	hwy kha han	False	7089968	7089969	THAI	LATIN	TH	TH
As Suwayḩil	As Suwayhil	True	11206709	11206709	LATIN	LATIN	QA	QA
白羊屋基	tai yang wan	False	10183598	10183599	CJK	LATIN	CN	CN
Ле-Сабль-д’Олон	LSO	True	2999683	2999683	CYRILLIC	LATIN	FR	FR
Asadabad	Kuh-e As	False	38626	38628	LATIN	LATIN	IR	IR
Зенфтенберг	Senftenberg	True	2765162	2765162	CYRILLIC	LATIN	AT	AT
Āghūz Kotī	Aghuz Koti	False	8121	8122	LATIN	LATIN	IR	IR
Kuh-e Chaleh-ye Shah	کوه چال شه	True	139263	139263	LATIN	ARABIC	IR	IR
Crique Petit Inini	Crique Coureni	False	3380645	3380650	LATIN	LATIN	GF	GF
Koradarah	kwrh drh	True	1135673	1135673	LATIN	LATIN	AF	AF
Koshara Beljajkina	Koshara Maseykina	False	7044794	7044795	LATIN	LATIN	RU	RU
北泊子	bei po zi	True	8427738	8427738	CJK	LATIN	CN	CN
Darreh-e Gurgowhar	Gurguray Algad	False	1140505	1140506	LATIN	LATIN	AF	AF
Beixiang	bei jiang	True	8540374	8540374	LATIN	LATIN	CN	CN
La Venta de Purisima	La Varita de Armendariz	False	3998862	3998878	LATIN	LATIN	MX	MX
บ้านนิคมพัฒนา	ban nikhm phatʹhna	True	9109911	9109911	THAI	LATIN	TH	TH
Fontene-le-Fleri	Fontne le Kont	False	3017919	3017921	LATIN	LATIN	FR	FR
Matabb Qa'ban	Maţabb Qa‘bān	True	93580	93580	LATIN	LATIN	IQ	IQ
Полевой Стан Мунке	Kol'toganskij Prud	False	8220791	8220804	CYRILLIC	LATIN	KZ	KZ
Linglongzhen	Linglong	True	1919129	1919129	LATIN	LATIN	CN	CN
As Suwaydi al `Amm	Shari` Sultanah	False	9095913	9095918	LATIN	LATIN	SA	SA
Fonggueidou Shan	Fengguidou Shan	True	1676655	1676655	LATIN	LATIN	TW	TW
吴家庄	da shu tun	False	9084407	9084408	CJK	LATIN	CN	CN
Llanfihangel	Llanfihangel-geneu'r-glyn	True	2644068	2644068	LATIN	LATIN	GB	GB
Ban Wean	Ban Wae	False	1612037	1612038	LATIN	LATIN	TH	TH
sha tuo lao er yao wu yi hai yi	Károlyfalva	True	715839	715839	LATIN	LATIN	HU	HU
Chashmeh-ye Alqameh	Alokhī	False	1161838	1161839	LATIN	LATIN	IR	IR
Hajjiabad	Hājīābād	True	132384	132384	LATIN	LATIN	IR	IR
Володарский	Ostanovochnyj Punkt 40 km	False	7754984	7754985	CYRILLIC	LATIN	RU	RU
Maḩalleh-ye Garmsar	محله گرم سر	True	37442	37442	LATIN	ARABIC	IR	IR
Хрепилево	Хрипань	False	549254	549255	CYRILLIC	CYRILLIC	RU	RU
Mowan	mo wan	True	10147517	10147517	LATIN	LATIN	CN	CN
ban dng khuy tı	Ban Dong Kui Nua	False	1619928	1619929	LATIN	LATIN	TH	TH
Tabare	Tabaré	True	4007435	4007435	LATIN	LATIN	MX	MX
Daryā-ye Shākh Darah	Shākhdār	False	1125768	1125769	LATIN	LATIN	AF	AF
Babinsk	Бобинск	True	7930637	7930637	LATIN	CYRILLIC	BY	BY
Arnes	arnprywr	False	5887135	5887214	LATIN	LATIN	CA	CA
Zaton	Zátoň	True	3061818	3061818	LATIN	LATIN	CZ	CZ
Yangjia	zhong da san	False	9941555	9941556	LATIN	LATIN	CN	CN
Lao'anquan	Lao’anquan	True	9615983	9615983	LATIN	LATIN	CN	CN
deuldoggol	godabli	False	6888200	6888201	LATIN	LATIN	KR	KR
Tŏksa-dong	덕사동	True	1888902	1888902	LATIN	CJK	KP	KP
Tarochina	Špāla	False	1473393	1473394	LATIN	LATIN	AF	AF
mo er wang de qu meng di ni	Монтіньї-ан-Морван	True	6438026	6438026	LATIN	CYRILLIC	FR	FR
คลองกลาง	คลองดุ	False	8065610	8065612	THAI	THAI	TH	TH
Стаклишкес	Stoklishki	True	594303	594303	CYRILLIC	LATIN	LT	LT
Karacaviran	Karacaören	False	310034	310035	LATIN	LATIN	TR	TR
Озеро Лейтимо-Ярви	Ozero Leytimo-Yarvi	True	535391	535391	CYRILLIC	LATIN	RU	RU
Gory Ottuk	Ottuk	False	1527526	1527528	LATIN	LATIN	KG	KG
剣丸尾	jian wan wei	True	10799611	10799611	CJK	LATIN	JP	JP
Sovetskij	Tsjurilovka	False	818539	818540	LATIN	LATIN	RU	RU
Qā‘ Mābīyah	Qa` Mabiyah	True	104654	104654	LATIN	LATIN	SA	SA
Bezvodyj	Stancija Bezvodovka	False	576478	576480	LATIN	LATIN	RU	RU
Kattskjæret	Kattskjeret	True	9709486	9709486	LATIN	LATIN	NO	NO
Reka Mokotun	Makar’yevskiy	False	2020563	2020564	LATIN	LATIN	RU	RU
Gmina Bojanowo	Бояново	True	7533567	7533567	LATIN	CYRILLIC	PL	PL
Shanbizi	Shanpai	False	1669690	1669691	LATIN	LATIN	TW	TW
Ministry of Finance	wzart almalyt	True	8149339	8149339	LATIN	LATIN	OM	OM
Chah-e Kuh Birin	Rostamabad-e Harandi	False	7034117	7034249	LATIN	LATIN	IR	IR
Guanxi	guan xi	True	11147067	11147067	LATIN	LATIN	CN	CN
Guohcavuopmi	Vuolevaggi	False	9752874	9752877	LATIN	LATIN	NO	NO
Khaapsal’skaya Bukhta	Hapsaler Bucht	True	592224	592224	LATIN	LATIN	EE	EE
Lapangan Terbang Kelowna	Lapangan Terbang Mayo	False	6296229	6296230	LATIN	LATIN	CA	CA
Novye Budy	Новые Буды	True	8047070	8047070	LATIN	CYRILLIC	BY	BY
Sovkhoz Shipunovskiy	Shipunovo	False	1492152	1492153	LATIN	LATIN	RU	RU
chshmh hzar chshmh	Cheshmeh-ye Hezar Cheshmeh	True	8372973	8372973	LATIN	LATIN	IR	IR
Fronsvollsmyrane	Tomasan	False	9586613	9586635	LATIN	LATIN	NO	NO
ban hnxng miphi sænsukh	บ้านหนองไม้ไผ่แสนสุข	True	9104710	9104710	LATIN	THAI	TH	TH
Ajmiriganj	Atrai	False	1185287	1185289	LATIN	LATIN	BD	BD
Падь Лариониха	Pad' Larionikha	True	8507972	8507972	CYRILLIC	LATIN	RU	RU
liu qi zhuang	北于家庄	False	9630519	9630520	LATIN	CJK	CN	CN
Kuangxie Xincun	K'uang-hsieh Hsin-ts'un	True	7501680	7501680	LATIN	LATIN	TW	TW
قلعه کهنه	مزرعه بندهای جیران	False	11180318	11180319	ARABIC	ARABIC	IR	IR
Subule	su bu lei	True	9091198	9091198	LATIN	LATIN	CN	CN
bao en si	杜家咀	False	6818641	6818642	LATIN	CJK	CN	CN
寺掌峪	Sizhangyu	True	11071107	11071107	CJK	LATIN	CN	CN
KBKS	Brown Kūn	False	4676548	4676632	LATIN	LATIN	US	US
Pekarshchina	Pekarshchyna	True	697775	697775	LATIN	LATIN	UA	UA
wad sri saxad	wad had thray kha	False	7683181	7683182	LATIN	LATIN	TH	TH
Sparboessan	Sparbossan	True	3213763	3213763	LATIN	LATIN	SE	SE
wang ling	wang tian	False	9901482	9901483	LATIN	LATIN	CN	CN
Zemcy	Земцы	True	7093980	7093980	LATIN	CYRILLIC	RU	RU
十棟寮	沙崙寮	False	6254074	6254075	CJK	CJK	TW	TW
Barid `Ayn as Sirah	بريد عين الصيرة	True	7922900	7922900	LATIN	ARABIC	EG	EG
Shadrina	Shadaron	False	2016881	2016882	LATIN	LATIN	RU	RU
Bjornalia	Bjørnalie	True	9535694	9535694	LATIN	LATIN	NO	NO
Kumbokota	Nirahirapa Island	False	2104331	2104343	LATIN	LATIN	SB	SB
Brottøy	Brotö	True	3159929	3159929	LATIN	LATIN	NO	NO
Тамбовка	Бухта Тамбей	False	1490193	1490196	CYRILLIC	CYRILLIC	RU	RU
Maraqqat `Abdullah	Maraqqat ‘Abdullah	True	93668	93668	LATIN	LATIN	IQ	IQ
Choqa Kabud	Chaqā Kabūd	False	24028	24029	LATIN	LATIN	IR	IR
yi er sang ge	Hirsingue	True	6441469	6441469	LATIN	LATIN	FR	FR
Lagrange  cabo	Labbe  Islotes	False	6626153	6626165	LATIN	LATIN	AQ	AQ
IXP	Pathankot Air Force Station	True	7668607	7668607	LATIN	LATIN	IN	IN
บ้านเสาวังคา	บ้านเสาธง	False	1613368	1613369	THAI	THAI	TH	TH
Žbandaji	Sbandati	True	3186692	3186692	LATIN	LATIN	HR	HR
โรงเรียนตาดีกาอัลฮีดายาตุลอิสลามียะห์	Matsayit Khoi Ri Ya	False	7000855	7000856	THAI	LATIN	TH	TH
Powaa	Pawaa	True	226780	226780	LATIN	LATIN	UG	UG
La Blanquita	Caserio La Bermeja	False	2516164	2516165	LATIN	LATIN	ES	ES
Isrundingen	Iskapp	True	2730491	2730491	LATIN	LATIN	SJ	SJ
Wādī ar Ribāţīyah	Jabal ar Ribatiyah	False	165324	165325	LATIN	LATIN	SY	SY
Gora Lari-Nau	Lār-e Nāw	True	1472758	1472758	LATIN	LATIN	AF	AF
Ar Ru’aysah	Er Rous	False	278463	278464	LATIN	LATIN	LB	LB
Tall Qaryaji	Tall Qaryājī	True	7352094	7352094	LATIN	LATIN	IQ	IQ
ysawl	yasy knd	False	22242	22243	LATIN	LATIN	IR	IR
名電長沢駅	Meiden Nagasawa-eki	True	7557770	7557770	CJK	LATIN	JP	JP
Syāhjar	پشتۀ گنده قوروغ	False	1466483	1466484	LATIN	ARABIC	AF	AF
Nawāgaon	Nawagaon	True	10735519	10735519	LATIN	LATIN	IN	IN
Ulilåmbåla	Gahpirláttu	False	9335813	9335821	LATIN	LATIN	NO	NO
AOR	Sultan Abdul Halim	True	6452629	6452629	LATIN	LATIN	MY	MY
Huai Khun Kaeo	Huai Khot	False	9875784	9875785	LATIN	LATIN	TH	TH
El-Khudârîya	alkhdaryt	True	360899	360899	LATIN	LATIN	EG	EG
Brindsjoen	Brickhøjden	False	2719285	2719296	LATIN	LATIN	SE	SE
ban lad tathaph	บ้านลัดตาทัพ	True	7507761	7507761	LATIN	THAI	TH	TH
sthani xnamay tabl non han	Sathani Anamai Tambon Chum Phae	False	9001305	9001306	LATIN	LATIN	TH	TH
Kajzersbakh	kai sai er si ba he	True	2894014	2894014	LATIN	LATIN	DE	DE
mu zhuang	qin zhuang	False	8561711	8561712	LATIN	LATIN	CN	CN
Qassab Mahalleh	Qaşşāb Deh	True	28613	28613	LATIN	LATIN	IR	IR
Xuena	shi cun	False	9088091	9088092	LATIN	LATIN	CN	CN
Ozero Lyaga	Ozero Ljaga	True	2115224	2115224	LATIN	LATIN	RU	RU
บ้านหนองงิ้ว	วัดคามวาสี	False	7676135	7676137	THAI	THAI	TH	TH
wady jrmtka	Wādī Charmahgā	True	7323716	7323716	LATIN	LATIN	IQ	IQ
老寨脚	Yuhechong	False	10365539	10365540	CJK	LATIN	CN	CN
Shīvān	shywan	True	90827	90827	LATIN	LATIN	IQ	IQ
Yonghŭng-ni	Tongohung-dong	False	1866287	1866288	LATIN	LATIN	KP	KP
Jiaoxi	jiao xi	True	8366017	8366017	LATIN	LATIN	CN	CN
ニョライドウガワ	Nagawa Ōhashi	False	8561532	8561533	CJK	LATIN	JP	JP
Первомайский	Pervomajskij	True	510922	510922	CYRILLIC	LATIN	RU	RU
